CdStationHydro;LbStationHydro;Lng;Lat
I9122020;L'Airon a Landivy;-1.074805;48.480224
J0014010;Le Nancon a Lecousse [Pont aux Anes];-1.196744;48.375621
J0121510;Le Couesnon a Romazy;-1.503887;48.366003
J0144010;La Loysance a Saint-Ouen-la-Rouerie;-1.435907;48.427929
J0144210;La Loysance a Saint-Etienne-en-Cogles;-1.323278;48.405862
J0323010;Le Guyoult a Epiniac;-1.689011;48.52601
J0407610;Le Meleuc a Plerguer;-1.860854;48.512695
J0611610;La Rance a Saint-Jouan-de-l'Isle;-2.167019;48.254062
J0621610;La Rance a Guenroc [Rophemel];-2.058806;48.316223
J0626610;Le Neal a Medreac;-2.043135;48.272682
J1004510;Le Fremur a Tremereuc [La Crochais];-2.080868;48.565387
J1004520;Le Fremur a Pleslin-Trigavou;-2.074742;48.550553
J1103010;L'Arguenon a Jugon-les-Lacs;-2.333271;48.402743
J1114010;La Rosette a Megrit;-2.248437;48.364781
J1123010;L'Arguenon a Pledeliac [Tournemine];-2.322566;48.459121
J1313010;Le Gouessant a Andel;-2.567823;48.484258
J1324010;L'Evron a Coetmieux;-2.605924;48.48983
J1405310;L'Urne a Pledran;-2.752132;48.466574
J1407110;Le Creac'h a Pledran;-2.751708;48.468061
J1513010;Le Gouet a Saint-Julien;-2.833214;48.446625
J1513020;Le Gouet a Ploufragan [St-Barthelemy];-2.827257;48.510168
J1523010;Le Gouet a Ploufragan [Pont Noir];-2.841892;48.490418
J1524010;La Maudouve a Saint-Donan;-2.848335;48.467422
J1711710;Le Trieux a Saint-Pever;-3.114635;48.483193
J1721710;Le Trieux a Tregonneau [Pont Broc'hen];-3.143165;48.61206
J1721720;Le Trieux a Saint-Clet [Moulin-de-Chateaulin];-3.166775;48.689576
J1721730;Le Trieux a Saint-Clet [Rocher du Corbeau];-3.157731;48.671623
J1803010;Le Leff a Boqueho;-2.95125;48.482255
J1813010;Le Leff a Quemper-Guezennec;-3.067743;48.705549
J2023010;Le Jaudy a Mantallot;-3.270207;48.714096
J2034010;Le Guindy a Plouguiel;-3.253864;48.783504
J2213110;Le Guic a Guerlesquin [Kerret];-3.587301;48.503592
J2213120;Le Guic a Guerlesquin [Trogoredec];-3.563299;48.52286
J2233010;Le Leguer a Belle-Isle-en-Terre;-3.397289;48.547964
J2233020;Le Leguer a Pluzunet;-3.413635;48.635771
J2314910;Le Yar a Treduder;-3.577545;48.646696
J2404010;Le Douron au Ponthou;-3.64625;48.556201
J2514010;Le Dourduff a Garlan;-3.768072;48.608035
J2603010;Le Jarlot a Plougonven;-3.800093;48.566677
J2605410;Le Tromorgant a Plougonven;-3.79725;48.566762
J2614010;Le Queffleuth a Plourin-les-Morlaix [Lesquifiou];-3.827635;48.546975
J2614020;Le Queffleuth a Plourin-les-Morlaix [Les Trois Chenes];-3.837274;48.567788
J2723010;La Penze a Taule [Penhoat];-3.923674;48.585751
J3014310;L'Horn a Mespaul [Pont Milin];-4.024855;48.626389
J3014320;L'Horn a Saint-Pol-de-Leon;-4.019188;48.675727
J3014330;L'Horn a Mespaul [Kertanguy];-4.013982;48.604418
J3024010;Le Guillec a Trezilide;-4.076506;48.615853
J3104010;Le ruisseau de Kernic a Plouescat [Kerret];-4.17165;48.647835
J3114010;Le Quillimadec a Plouider [Coatiguinou];-4.290552;48.585448
J3204010;L'Aber Wrac'h a Ploudaniel [Roch-Huez];-4.344688;48.550317
J3205710;L'Aber Wrac'h au Drennec;-4.361803;48.531041
J3213010;L'Aber-Benoit a Plabennec [Taule];-4.420293;48.525759
J3313010;L'Aber-Ildut a Plouarzel [Locronan Vian];-4.662304;48.44849
J3323010;L'Aber Ildut a Plouarzel [Locronan-vian];-4.651627;48.442517
J3335410;Le ruisseau de Kermorvan a Trebabu [La Haie];-4.720823;48.384231
J3403010;L'Elorn a Sizun;-4.020782;48.389816
J3403020;L'Elorn a Commana;-4.000416;48.38515
J3404110;Le ruisseau de Mougau Bihan a Commana;-3.994357;48.39694
J3413010;L'Elorn a la Roche-Maurice [Pont Ar Bled];-4.215684;48.469382
J3413020;L'Elorn a Ploudiry [Kerfaven];-4.148638;48.485275
J3413030;L'Elorn a Plouedern;-4.220124;48.469198
J3424810;Le Tourous a Landerneau [amont];-4.277216;48.461733
J3424820;Le Tourous a Landerneau [aval];-4.266954;48.453539
J3514010;La Mignonne a Irvillac;-4.214753;48.386823
J3601810;L'Aulne a Scrignac [Le Goask];-3.667712;48.389446
J3611810;L'Aulne a Kergloff [Pont-de-Penity];-3.691885;48.275476
J3624010;L'Ellez a Brennilis;-3.87228;48.354143
J3713010;L'Hyeres a Trebrivan;-3.510334;48.321136
J3733010;L'Hyeres a Saint-Hernin;-3.655231;48.223254
J3801810;L'Aulne a Landeleau [Pont Triffen];-3.702363;48.219441
J3811810;L'Aulne a Chateauneuf-du-Faou [Pont Pol ty Glass];-3.860705;48.165087
J3821810;L'Aulne a Gouezec [Pont-Coblant];-3.986143;48.190367
J3834010;La Douffine a Saint-Segal;-4.060747;48.260106
J4014010;Le Goyen a Pont-Croix [Kermaria];-4.473261;48.03893
J4124410;La Riviere de Pont-l'Abbe a Ploneour-Lanvern [Moulin Neuf];-4.236449;47.885849
J4124420;La Riviere de Pont-l'Abbe a Ploneour-Lanvern [Tremillec];-4.24183;47.908558
J4124430;La Riviere de Pont-l'Abbe a Tremeoc [Pen Enez];-4.229864;47.879514
J4125720;Le Troyon a Ploneour-Lanvern [Ty Poes];-4.249725;47.907174
J4201910;L'Odet a Leuhan [Pont-Orven];-3.816507;48.110456
J4211910;L'Odet a Ergue-Gaberic [Treodet];-4.063635;48.006173
J4211915;L'Odet a Quimper [Kervir];-4.079519;47.994204
J4214510;Le Langelin a Briec;-3.987009;48.102906
J4224010;Le Jet a Ergue-Gaberic;-4.014073;47.988866
J4313010;Le Steir a Guengat;-4.146541;48.027138
J4514010;Le Moros a Concarneau [PONT D22];-3.875108;47.883916
J4515410;Le Styval a Concarneau [Pont Thouar];-3.884496;47.900295
J4515420;Le Styval a Concarneau [Moulin de la Haie];-3.877808;47.888274
J4614010;Le Ster Goz a Bannalec;-3.751818;47.907675
J4623010;L'Aven a Pont-Aven [Bois d'Amour];-3.735785;47.860244
J4623020;L'Aven a Pont-Aven [voie express];-3.734766;47.88494
J4712010;L'Elle au Faouet;-3.476587;48.038929
J4734010;L'Inam au Faouet [Pont Priant];-3.555951;48.047619
J4742010;L'Elle a Arzano [Pont Ty Nadan];-3.469043;47.90416
J4742015;L'Elle a Lanvenegen [Loge-coucou];-3.493808;47.985032
J4803010;L'Isole a Scaer [Stang Boudilin];-3.671179;47.98786
J4813010;L'Isole a Quimperle [Place Bremont d'Ars];-3.546187;47.87554
J4902010;La Laita a Quimperle;-3.54406;47.865231
J5102210;Le Scorff a Plouay [Pont Kerlo];-3.419385;47.905043
J5202110;Le Blavet a Kerien [Kerlouet];-3.251059;48.391522
J5205210;Le Lestolet a Kerien;-3.244541;48.387388
J5212110;Le Blavet a Plounevez-Quintin [Pors Foret];-3.234076;48.324123
J5212120;Le Blavet a Lanrivain;-3.248447;48.342271
J5222110;Le Blavet a Gouarec;-3.177776;48.227087
J5224010;Le Sulon a Sainte-Trephine;-3.152966;48.255794
J5402110;Le Blavet a Laniscat [St HERVE];-3.158748;48.213251
J5412110;Le Blavet a Mur-de-Bretagne [Guerledan];-3.01904;48.190407
J5432110;Le Blavet a Neulliac [Le Porzo];-3.000838;48.113367
J5606810;Le Coetdan a Guenin [Stimoes];-2.812938;47.97765
J5613010;L'Evel a Guenin;-2.974528;47.900861
J5618310;Le Fremeur a Guenin;-2.953465;47.937709
J5618320;Le Fremeur a Plumeliau;-2.953575;47.938001
